distance_km,id_or_name,lat,lon,source_file
19.827,RN006953,-22.396406,133.133605,Bores_Ti_Tree.csv
20.097,RN013552,-22.54765,133.309138,Bores_Ti_Tree.csv
20.203,RN017319,-22.204064,133.40981,Bores_Ti_Tree.csv
20.204,RN017320,-22.204055,133.40983,Bores_Ti_Tree.csv
20.207,RN017321,-22.204055,133.409878,Bores_Ti_Tree.csv
20.227,RN018164,-22.548714,133.3077,Bores_Ti_Tree.csv
20.353,RN000451,-22.550016,133.309994,Bores_Ti_Tree.csv
20.383,RN013551,-22.550308,133.310272,Bores_Ti_Tree.csv
20.426,RN005503,-22.194744,133.391575,Bores_Ti_Tree.csv
20.589,RN005630,-22.183991,133.296649,Bores_Ti_Tree.csv
20.594,RN005721,-22.201687,133.41321,Bores_Ti_Tree.csv
20.594,RN005722,-22.201687,133.41321,Bores_Ti_Tree.csv
20.616,RN005723,-22.201708,133.413716,Bores_Ti_Tree.csv
20.709,RN010675,-22.208357,133.428558,Bores_Ti_Tree.csv
20.750,RN010674,-22.208217,133.429073,Bores_Ti_Tree.csv
20.753,RN010673,-22.207904,133.428574,Bores_Ti_Tree.csv
20.790,RN010676,-22.207719,133.428943,Bores_Ti_Tree.csv
21.286,RN005511,-22.194804,133.41329,Bores_Ti_Tree.csv
21.342,RN017326,-22.24302,133.481855,Bores_Ti_Tree.csv
21.347,RN017327,-22.24293,133.481836,Bores_Ti_Tree.csv
21.354,RN017325,-22.24294,133.481933,Bores_Ti_Tree.csv
21.733,RN017350,-22.435884,133.52189,Bores_Ti_Tree.csv
21.746,RN019209,-22.50643,133.472705,Bores_Ti_Tree.csv
21.785,RN005638,-22.243082,133.48752,Bores_Ti_Tree.csv
21.899,RN013930,-22.370317,133.536821,Bores_Ti_Tree.csv
21.968,RN018893,-22.282877,133.516906,Bores_Ti_Tree.csv
21.972,RN017915,-22.283685,133.517354,Bores_Ti_Tree.csv
21.974,RN018892,-22.282878,133.516964,Bores_Ti_Tree.csv
21.981,RN018733,-22.19961,133.436785,Bores_Ti_Tree.csv
22.047,RN017601,-22.194916,133.429504,Bores_Ti_Tree.csv
22.346,RN005504,-22.19502,133.435456,Bores_Ti_Tree.csv
22.638,RN005584,-22.168215,133.369253,Bores_Ti_Tree.csv
22.868,RN017853,-22.196112,133.446833,Bores_Ti_Tree.csv
23.055,RN015074,-22.469978,133.128948,Bores_Ti_Tree.csv
23.274,RN017852,-22.187442,133.439344,Bores_Ti_Tree.csv
23.428,RN010671,-22.173236,133.412201,Bores_Ti_Tree.csv
23.496,RN013925,-22.424807,133.543828,Bores_Ti_Tree.csv
23.612,RN017856,-22.194823,133.457554,Bores_Ti_Tree.csv
23.680,RN017218,-22.154469,133.322351,Bores_Ti_Tree.csv
23.680,RN017224,-22.154468,133.322471,Bores_Ti_Tree.csv
23.816,RN043687,-22.566895,133.239456,Bores_Ti_Tree.csv
23.832,RN017351,-22.476125,133.5237,Bores_Ti_Tree.csv
23.978,RN017844,-22.209445,133.482497,Bores_Ti_Tree.csv
24.003,RN040118,-22.570828,133.245639,Bores_Ti_Tree.csv
24.011,RN015073,-22.438061,133.103158,Bores_Ti_Tree.csv
24.027,RN017599,-22.175605,133.431368,Bores_Ti_Tree.csv
24.042,RN017220,-22.151214,133.322947,Bores_Ti_Tree.csv
24.094,RN017854,-22.200388,133.473041,Bores_Ti_Tree.csv
24.094,RN005500,-22.167279,133.413597,Bores_Ti_Tree.csv
24.148,RN017857,-22.187733,133.455663,Bores_Ti_Tree.csv
